Site_Name,Month,Day,Year,Time,AM_PM,Level,Unit
SS,7,24,2021,9:25,PM,0,mm
SS,7,24,2021,9:30,AM,78,mm
SS,7,24,2021,9:30,PM,4,mm
SS,7,24,2021,9:35,AM,71,mm
SS,7,24,2021,9:35,PM,0,mm
SS,7,24,2021,9:40,AM,66,mm
SS,7,24,2021,9:40,PM,0,mm
SS,7,24,2021,9:45,AM,75,mm
SS,7,24,2021,9:45,PM,4,mm
SS,7,24,2021,9:50,AM,69,mm
SS,7,24,2021,9:50,PM,0,mm
SS,7,24,2021,9:55,AM,66,mm
SS,7,24,2021,9:55,PM,0,mm
SS,7,24,2021,10:00,AM,73,mm
SS,7,24,2021,10:00,PM,4,mm
SS,7,24,2021,10:05,AM,64,mm
SS,7,24,2021,10:05,PM,0,mm
SS,7,24,2021,10:10,AM,66,mm
SS,7,24,2021,10:10,PM,0,mm
SS,7,24,2021,10:15,AM,70,mm
SS,7,24,2021,10:15,PM,3,mm
SS,7,24,2021,10:20,AM,65,mm
SS,7,24,2021,10:20,PM,0,mm
SS,7,24,2021,10:25,AM,61,mm
SS,7,24,2021,10:25,PM,0,mm
SS,7,24,2021,10:30,AM,63.6,mm
SS,7,24,2021,10:30,PM,4,mm
SS,7,24,2021,10:35,AM,57,mm
SS,7,24,2021,10:35,PM,0,mm
SS,7,24,2021,10:40,AM,57.1,mm
SS,7,24,2021,10:40,PM,0,mm
SS,7,24,2021,10:45,AM,57.3,mm
SS,7,24,2021,10:45,PM,4,mm
SS,7,24,2021,10:50,AM,69.5,mm
SS,7,24,2021,10:50,PM,0,mm
SS,7,24,2021,10:55,AM,65,mm
SS,7,24,2021,10:55,PM,0,mm
SS,7,24,2021,11:00,AM,75,mm
SS,7,24,2021,11:00,PM,4,mm
SS,7,24,2021,11:05,AM,69,mm
SS,7,24,2021,11:05,PM,0,mm
SS,7,24,2021,11:10,AM,68,mm
SS,7,24,2021,11:10,PM,0,mm
SS,7,24,2021,11:15,AM,74,mm
SS,7,24,2021,11:15,PM,3,mm
SS,7,24,2021,11:20,AM,66,mm
SS,7,24,2021,11:20,PM,0,mm
SS,7,24,2021,11:25,AM,66,mm
SS,7,24,2021,11:25,PM,0,mm
SS,7,24,2021,11:30,AM,71,mm
SS,7,24,2021,11:30,PM,4,mm
SS,7,24,2021,11:35,AM,64,mm
SS,7,24,2021,11:35,PM,0,mm
SS,7,24,2021,11:40,AM,63,mm
SS,7,24,2021,11:40,PM,0,mm
SS,7,24,2021,11:45,AM,70,mm
SS,7,24,2021,11:45,PM,4,mm
SS,7,24,2021,11:50,AM,63,mm
SS,7,24,2021,11:50,PM,0,mm
SS,7,24,2021,11:55,AM,61,mm
SS,7,24,2021,11:55,PM,0,mm
SS,7,24,2021,12:00,AM,249,mm
SS,7,24,2021,12:00,PM,68,mm
SS,7,24,2021,12:05,AM,239,mm
SS,7,24,2021,12:05,PM,62,mm
SS,7,24,2021,12:10,AM,240,mm
SS,7,24,2021,12:10,PM,60,mm
SS,7,24,2021,12:15,AM,240,mm
SS,7,24,2021,12:15,PM,66,mm
SS,7,24,2021,12:20,AM,238,mm
SS,7,24,2021,12:20,PM,60,mm
SS,7,24,2021,12:25,AM,246,mm
SS,7,24,2021,12:25,PM,60,mm
SS,7,24,2021,12:30,AM,232,mm
SS,7,24,2021,12:30,PM,65,mm
SS,7,24,2021,12:35,AM,247,mm
SS,7,24,2021,12:35,PM,58,mm
SS,7,24,2021,12:40,AM,245,mm
SS,7,24,2021,12:40,PM,57,mm
SS,7,24,2021,12:45,AM,222,mm
SS,7,24,2021,12:45,PM,61,mm
SS,7,24,2021,12:50,AM,254,mm
SS,7,24,2021,12:50,PM,54,mm
